sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m
11290,성북구,2025-12,89845.71865443425,87800.0,1182.124576874743,1106.2728021654702,327,54571.53333333333,54600.0,713.3398781668712,701.5796529093068,450,860,410,0.47674418604651164,0.6034388355690672,0.3965611644309328,-0.024226907643570272,0.00810458380562884,-0.03233149144919911,0.5797101449275361,0.18620689655172407
11290,성북구,2026-01,95260.30303030302,93500.0,1214.1006609823685,1146.721204884796,363,54465.44416873449,53000.0,722.4429627087522,700.3501750875438,403,756,353,0.4669312169312169,0.5950437108931315,0.40495628910686854,0.02704967372572753,0.012761216385762664,0.014288457339964866,0.11009174311926606,-0.1209302325581395
11290,성북구,2026-02,94659.01960784313,90850.0,1231.751623429623,1154.093085229547,408,53838.35435435436,52500.0,725.4466871493096,695.5287437899219,333,592,259,0.4375,0.588955332674468,0.411044667325532,0.01453830231257136,0.004157732299439942,0.010380570013131418,0.12396694214876036,-0.21693121693121697
11290,성북구,2026-03,88616.18497109826,87950.0,1197.2980918176122,1128.139538595022,346,50906.855769230766,50000.0,708.9147922580783,658.8412155952499,416,711,295,0.4149085794655415,0.5920954832408346,0.4079045167591654,-0.027971168015253012,-0.022788573142699886,-0.005182594872553126,-0.1519607843137255,0.2010135135135136
11290,성북구,2026-04,90530.7955801105,90000.0,1214.4142754815437,1173.070402858882,362,54943.61209964413,54000.0,764.3054241776995,747.7194556602362,281,460,179,0.38913043478260867,0.6293613634232309,0.3706386365767691,0.01429567438627366,0.07813439996531546,-0.0638387255790418,0.046242774566473965,-0.35302390998593525
11305,강북구,2023-05,60905.26315789474,60000.0,865.3039820713125,882.4256115209488,57,34392.301204819276,35000.0,482.0654585159754,460.2349444368456,166,309,143,0.4627831715210356,0.5571053277277613,0.44289467227223867,,,,,
11305,강북구,2023-06,53853.22580645161,52500.0,889.7201060850299,859.375,93,35332.201257861634,37000.0,491.46336203696677,472.22714125494366,159,308,149,0.4837662337662338,0.5523797413093393,0.4476202586906607,0.028216816887022267,0.019495077597806887,0.00872173928921538,0.631578947368421,-0.003236245954692518
11305,강북구,2023-07,59763.07692307692,63000.0,844.8594344335464,829.5625942684766,65,35759.28021978022,36000.0,484.99227312487704,470.36688617121354,182,307,125,0.40716612377850164,0.5740508460440525,0.42594915395594746,-0.050421105856403026,-0.013166981329531868,-0.03725412452687116,-0.30107526881720426,-0.0032467532467532756
11305,강북구,2023-08,41093.706293706295,42500.0,903.9811256224503,972.6443768996961,143,36856.67484662577,37000.0,506.5329376487171,486.2508383635144,163,257,94,0.3657587548638132,0.560335745173812,0.439664254826188,0.06997813929667873,0.04441444888400059,0.02556369041267814,1.2000000000000002,-0.1628664495114006
11305,강북구,2023-09,64137.5,65150.0,889.4993017996708,858.0741147145985,52,35827.86394557823,37000.0,532.6101954118087,519.449855380438,147,280,133,0.475,0.5987752821550397,0.4012247178449603,-0.016020051096540144,0.051481859963816046,-0.06750191106035619,-0.6363636363636364,0.08949416342412442
11305,강북구,2023-10,46339.08045977011,34900.0,878.9020333543755,893.953708077468,87,35089.28571428572,35000.0,500.890099549383,480.57669203043656,147,243,96,0.3950617283950617,0.5699043585525793,0.43009564144742074,-0.01191374565877057,-0.059555930651872035,0.047642184993101466,0.6730769230769231,-0.13214285714285712
11305,강북구,2023-11,59923.68421052631,59900.0,834.6989062606059,829.060253388441,38,36334.258278145695,39000.0,530.2337664235774,501.72467858262775,151,245,94,0.3836734693877551,0.6352395605727921,0.3647604394272079,-0.050293577004328904,0.05858304426578398,-0.10887662127011288,-0.5632183908045977,0.008230452674897082
11305,강북구,2023-12,55501.25,61500.0,852.2894832266038,839.8043405396346,40,36692.81451612903,37000.0,515.5405838009141,500.51523670649806,124,276,152,0.5507246376811594,0.6048890593477426,0.3951109406522574,0.02107415839898774,-0.027710763729305254,0.048784922128292996,0.05263157894736836,0.12653061224489792
11305,강북구,2024-01,56932.92682926829,59700.0,840.6737718812469,823.5429760019578,41,37092.15757575758,40000.0,577.058067679188,547.9213776308923,165,282,117,0.4148936170212766,0.6864233035221929,0.31357669647780706,-0.013628833364670911,0.11932617103531462,-0.13295500439998553,0.02499999999999991,0.021739130434782705
11305,강북구,2024-02,59175.555555555555,61000.0,825.4431363451812,814.5918186647777,45,34992.91366906475,36000.0,550.1960413141669,530.2039517867873,139,260,121,0.4653846153846154,0.6665462671968814,0.33345373280311863,-0.018117177013840746,-0.046549953756048756,0.02843277674220801,0.09756097560975618,-0.07801418439716312
11305,강북구,2024-03,58310.6125,59450.0,820.784614253331,800.2431651893721,80,36359.28846153846,38500.0,572.7481275384295,540.3815708370563,156,310,154,0.4967741935483871,0.6978056332835372,0.3021943667164628,-0.0056436620364629375,0.04098918300174592,-0.04663284503820886,0.7777777777777777,0.1923076923076923
11305,강북구,2024-04,57156.06060606061,58950.0,859.698965092556,892.7311135280547,66,32770.43065693431,34500.0,560.5695501795255,500.30018010806486,137,242,105,0.43388429752066116,0.6520533034713775,0.34794669652862253,0.04741116020385627,-0.021263408422206975,0.06867456862606325,-0.17500000000000004,-0.21935483870967742
11305,강북구,2024-05,57599.375,59750.0,812.7005560725447,783.2391788890724,80,37952.643835616436,40000.0,595.1713680852835,558.4063140446593,146,281,135,0.4804270462633452,0.7323378378889115,0.2676621621110885,-0.054668448990108365,0.06172618169266686,-0.11639463068277522,0.21212121212121215,0.16115702479338845
11305,강북구,2024-06,62668.3962264151,63750.0,869.566366278919,878.6967238680969,106,36092.453237410075,37000.0,569.21523178954,545.4223481494599,139,241,102,0.42323651452282157,0.6545966516912874,0.34540334830871255,0.06997141786291361,-0.043611197862636675,0.11358261572555028,0.32499999999999996,-0.14234875444839856
11305,강북구,2024-07,63257.08955223881,63500.0,908.1333387510138,923.7590799031477,134,35371.14201183432,40000.0,544.8916350073595,531.2555339118115,169,295,126,0.4271186440677966,0.6000128084238898,0.3999871915761102,0.04435195974417927,-0.04273180938203325,0.08708376912621252,0.26415094339622636,0.22406639004149387
11305,강북구,2024-08,66361.86440677966,67250.0,908.611552959064,919.320328998555,118,39177.56028368794,41000.0,596.9687175173856,542.208875542209,141,253,112,0.4426877470355731,0.6570120262869704,0.3429879737130296,0.0005265903008340178,0.09557328313421953,-0.09504669283338552,-0.11940298507462688,-0.14237288135593218
